county,period,MOH 731_HIV_TB_OnART_15-19_(F)_HV03-24,MOH 731_HIV_TB_OnART_15-19_(M)_HV03-23,MOH 731_HIV_TB_OnART_20-24_(F)_HV03-26,MOH 731_HIV_TB_OnART_20-24_(M)_HV03-25,MOH 731_HIV_TB_OnART_25+_(F)_HV03-28,MOH 731_HIV_TB_OnART_25+_(M)_HV03-27,adults_on_art,art_total_males,art_total_females,MOH 731_HTS_Tests _(F) (Including PMTCT)_ HV01-02,MOH 731_HTS_Tests _(M)_ HV01-01,hts_tested,hts_tested_males,hts_tested_females,MOH 731_HTS_Positive_2-9 _(M)_ HV01-06,MOH 731_HTS_Positive_2-9 _(F) (Including PMTCT)_ HV01-07,MOH 731_HTS_Positive_10-14 _(F) (Including PMTCT)_HV01-09,MOH 731_HTS_Positive_10-14 _(M)_HV01-08,MOH 731_HTS_Positive_15-19 _(F) (Including PMTCT)_HV01-11,MOH 731_HTS_Positive_15-19 _(M)_HV01-10,MOH 731_HTS_Positive_20-24 _(M)_HV01-12,MOH 731_HTS_Positive_20-24 _(F) (Including PMTCT)_HV01-13,MOH 731_HTS_Positive_25+ _(M)_HV01-14,MOH 731_HTS_Positive_25+ _(F) (Including PMTCT)_HV01-15,hts_positive,hts_positive_males,hts_positive_females,vlt_valid_under15,vls_suppressed_under15,vlt_valid_male_15plus,vls_suppressed_male_15plus,vlt_valid_female_15plus,vls_suppressed_female_15plus,vls_rate_male15plus,vls_rate_female15plus,vls_rate_under15,vls_rate_adult,Actively on Treatment by the Beginning of 2025 Children,iit_children,Actively on Treatment by the Beginning of 2025 female adult,iit_female,Actively on Treatment by the Beginning of 2025 Male,iit_male,adults_on_treatment,iit_count,iit_rate_pct,iit_rate_children_pct,iit_rate_male_pct,iit_rate_female_pct,hts_positivity_rate,iit_rate_yoy_change,vls_rate_adult_yoy_change,iit_rate,care_gap_index,art_coverage,vls_rate,cluster,tier
Nakuru,2025,687,624,1215,637,28917,13149,45229,14410,30819,279489,92079,371568,92079,279489,39.0,33.0,25.0,8.0,88.0,18.0,72,370,989,1413,3055,1126,1929,614,544,7435,7075.0,16972,16278,0.9516,0.9591,0.886,0.9568,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0082219136201179,0,0,0.153,8.01243827240236,0.5,0.9568,0,Critical
Nandi,2025,216,175,407,206,8673,3710,13387,4091,9296,66220,19411,85631,19411,66220,17.0,12.0,12.0,16.0,59.0,22.0,14,109,342,581,1184,411,773,274,231,2467,2300.0,5589,5247,0.9323,0.9388,0.8431,0.9368,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0138267683432401,0,0,0.153,8.924535366864806,0.5,0.9368,0,Critical
Narok,2025,280,185,568,178,7459,3591,12261,3954,8307,132333,32427,164760,32427,132333,14.0,16.0,10.0,9.0,59.0,10.0,25,187,399,600,1329,457,872,318,268,2144,2020.0,4860,4538,0.9422,0.9337,0.8428,0.9363,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0080662782228696,0,0,0.153,8.829325564457392,0.5,0.9363,0,Critical
Nyamira,2025,335,260,583,204,10469,4668,16519,5132,11387,59764,18164,77928,18164,59764,21.0,19.0,7.0,20.0,43.0,5.0,10,95,225,329,774,281,493,158,136,1945,1860.0,4542,4388,0.9563,0.9661,0.8608,0.9632,101.16666666666669,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.333333333333,204.8333333333333,0.0913,0.086,0.094,0.09,0.0099322451493686,0,0,0.0913,5.322644902987376,0.5,0.9632,1,High
Nyandarua,2025,176,155,311,188,7003,3310,11143,3653,7490,49175,10618,59793,10618,49175,10.0,12.0,1.0,10.0,23.0,3.0,16,71,200,295,641,239,402,96,80,1865,1745.0,4095,3887,0.9357,0.9492,0.8333,0.945,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096,0.0107203184319234,0,0,0.1007,6.442406368638472,0.5,0.945,1,High
Nyeri,2025,198,198,426,318,12103,5478,18721,5994,12727,95257,31057,126314,31057,95257,28.0,21.0,10.0,34.0,28.0,1.0,30,84,401,508,1145,494,651,134,121,4156,4037.0,9255,9082,0.9714,0.9813,0.903,0.9782,28.4,2.4,538.0,51.8,284.4,31.0,822.4,82.8,0.1007,0.085,0.109,0.096,0.0090647117500831,0,0,0.1007,5.081294235001665,0.5,0.9782,1,High
Samburu,2025,46,54,103,26,1354,521,2104,601,1503,26129,5893,32022,5893,26129,11.0,4.0,6.0,1.0,16.0,5.0,9,35,75,135,297,101,196,21,16,199,183.0,457,416,0.9196,0.9103,0.7619,0.9131,33.857142857142854,4.428571428571429,524.2142857142857,80.35714285714286,280.0,42.71428571428572,804.2142857142857,123.07142857142856,0.153,0.131,0.153,0.153,0.0092748735244519,0,0,0.153,9.781497470489038,0.5,0.9131,0,Critical
Siaya,2025,1814,1539,1990,878,55882,28728,90831,31145,59686,165914,68709,234623,68709,165914,48.0,32.0,15.0,13.0,108.0,18.0,71,395,1153,1681,3534,1303,2231,1800,1509,19015,16567.0,37140,33675,0.8713,0.9067,0.8383,0.8947,101.16666666666669,8.666666666666666,1507.5,135.33333333333334,735.8333333333334,69.5,2243.333333333333,204.8333333333333,0.0913,0.086,0.094,0.09,0.0150624619069741,0,0,0.0913,8.165249238139483,0.5,0.8947,2,Moderate
Taita Taveta,2025,96,80,184,115,4753,2113,7341,2308,5033,39378,14450,53828,14450,39378,4.0,6.0,1.0,2.0,14.0,2.0,17,42,136,233,457,161,296,101,84,1410,1250.0,3203,2923,0.8865,0.9126,0.8317,0.9046,26.83333333333333,4.333333333333333,432.0,40.66666666666666,199.8333333333333,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094,0.0084900052017537,0,0,0.0926,7.689800104035076,0.5,0.9046,2,Moderate
Tana River,2025,39,20,67,20,1119,418,1683,458,1225,15818,2881,18699,2881,15818,2.0,1.0,7.0,2.0,12.0,1.0,2,32,33,96,181,40,141,44,29,189,171.0,624,552,0.9048,0.8846,0.6591,0.8893,26.83333333333333,4.333333333333333,432.0,40.66666666666666,199.8333333333333,17.833333333333332,631.8333333333334,58.5,0.0926,0.161,0.089,0.094,0.0096796620140114,0,0,0.0926,8.32559324028023,0.5,0.8893,2,Moderate
