county,tier,year,iit_bau,iit_bridged,art_retained_bau,art_retained_bridged,patients_saved
Nyamira,High,2025,0.0913,0.0913,16519.0,16519.0,0.0
Nyamira,High,2026,0.0913,0.06391,15011.0,15463.0,452.0
Nyamira,High,2027,0.0913,0.06391,13640.0,14475.0,835.0
Nyamira,High,2028,0.0913,0.06391,12395.0,13550.0,1155.0
Nyamira,High,2029,0.0913,0.06391,11263.0,12684.0,1421.0
Nyamira,High,2030,0.0913,0.06391,10235.0,11873.0,1638.0
Nyandarua,High,2025,0.1007,0.1007,11143.0,11143.0,0.0
Nyandarua,High,2026,0.1007,0.07049,10021.0,10358.0,337.0
Nyandarua,High,2027,0.1007,0.07049,9012.0,9627.0,616.0
Nyandarua,High,2028,0.1007,0.07049,8104.0,8949.0,844.0
Nyandarua,High,2029,0.1007,0.07049,7288.0,8318.0,1030.0
Nyandarua,High,2030,0.1007,0.07049,6554.0,7732.0,1177.0
Nyeri,High,2025,0.1007,0.1007,18721.0,18721.0,0.0
Nyeri,High,2026,0.1007,0.07049,16836.0,17401.0,566.0
Nyeri,High,2027,0.1007,0.07049,15140.0,16175.0,1034.0
Nyeri,High,2028,0.1007,0.07049,13616.0,15035.0,1419.0
Nyeri,High,2029,0.1007,0.07049,12245.0,13975.0,1730.0
Nyeri,High,2030,0.1007,0.07049,11012.0,12990.0,1978.0
Samburu,Critical,2025,0.153,0.153,2104.0,2104.0,0.0
Samburu,Critical,2026,0.153,0.1071,1782.0,1879.0,97.0
Samburu,Critical,2027,0.153,0.1071,1509.0,1677.0,168.0
Samburu,Critical,2028,0.153,0.1071,1278.0,1498.0,219.0
Samburu,Critical,2029,0.153,0.1071,1083.0,1337.0,255.0
Samburu,Critical,2030,0.153,0.1071,917.0,1194.0,277.0
Siaya,Moderate,2025,0.0913,0.0913,90831.0,90831.0,0.0
Siaya,Moderate,2026,0.0913,0.0913,82538.0,82538.0,0.0
Siaya,Moderate,2027,0.0913,0.0913,75002.0,75002.0,0.0
Siaya,Moderate,2028,0.0913,0.0913,68155.0,68155.0,0.0
Siaya,Moderate,2029,0.0913,0.0913,61932.0,61932.0,0.0
Siaya,Moderate,2030,0.0913,0.0913,56278.0,56278.0,0.0
Taita Taveta,Moderate,2025,0.0926,0.0926,7341.0,7341.0,0.0
Taita Taveta,Moderate,2026,0.0926,0.0926,6661.0,6661.0,0.0
Taita Taveta,Moderate,2027,0.0926,0.0926,6044.0,6044.0,0.0
Taita Taveta,Moderate,2028,0.0926,0.0926,5485.0,5485.0,0.0
Taita Taveta,Moderate,2029,0.0926,0.0926,4977.0,4977.0,0.0
Taita Taveta,Moderate,2030,0.0926,0.0926,4516.0,4516.0,0.0
Tana River,Moderate,2025,0.0926,0.0926,1683.0,1683.0,0.0
Tana River,Moderate,2026,0.0926,0.0926,1527.0,1527.0,0.0
Tana River,Moderate,2027,0.0926,0.0926,1386.0,1386.0,0.0
Tana River,Moderate,2028,0.0926,0.0926,1257.0,1257.0,0.0
Tana River,Moderate,2029,0.0926,0.0926,1141.0,1141.0,0.0
Tana River,Moderate,2030,0.0926,0.0926,1035.0,1035.0,0.0
Tharaka Nithi,High,2025,0.0888,0.0888,8042.0,8042.0,0.0
Tharaka Nithi,High,2026,0.0888,0.06216,7328.0,7542.0,214.0
Tharaka Nithi,High,2027,0.0888,0.06216,6677.0,7073.0,396.0
Tharaka Nithi,High,2028,0.0888,0.06216,6084.0,6634.0,549.0
Tharaka Nithi,High,2029,0.0888,0.06216,5544.0,6221.0,677.0
Tharaka Nithi,High,2030,0.0888,0.06216,5052.0,5835.0,783.0
Trans Nzoia,Critical,2025,0.153,0.153,18913.0,18913.0,0.0
Trans Nzoia,Critical,2026,0.153,0.1071,16019.0,16887.0,868.0
Trans Nzoia,Critical,2027,0.153,0.1071,13568.0,15079.0,1510.0
Trans Nzoia,Critical,2028,0.153,0.1071,11492.0,13464.0,1971.0
Trans Nzoia,Critical,2029,0.153,0.1071,9734.0,12022.0,2288.0
Trans Nzoia,Critical,2030,0.153,0.1071,8245.0,10734.0,2490.0
Turkana,Critical,2025,0.153,0.153,9410.0,9410.0,0.0
Turkana,Critical,2026,0.153,0.1071,7970.0,8402.0,432.0
Turkana,Critical,2027,0.153,0.1071,6751.0,7502.0,751.0
Turkana,Critical,2028,0.153,0.1071,5718.0,6699.0,981.0
Turkana,Critical,2029,0.153,0.1071,4843.0,5981.0,1138.0
Turkana,Critical,2030,0.153,0.1071,4102.0,5341.0,1239.0
Uasin Gishu,Critical,2025,0.153,0.153,34488.0,34488.0,0.0
Uasin Gishu,Critical,2026,0.153,0.1071,29211.0,30794.0,1583.0
Uasin Gishu,Critical,2027,0.153,0.1071,24742.0,27496.0,2754.0
Uasin Gishu,Critical,2028,0.153,0.1071,20956.0,24551.0,3595.0
Uasin Gishu,Critical,2029,0.153,0.1071,17750.0,21922.0,4172.0
Uasin Gishu,Critical,2030,0.153,0.1071,15034.0,19574.0,4540.0
Vihiga,High,2025,0.0895,0.0895,18010.0,18010.0,0.0
Vihiga,High,2026,0.0895,0.06265,16398.0,16882.0,484.0
Vihiga,High,2027,0.0895,0.06265,14930.0,15824.0,894.0
Vihiga,High,2028,0.0895,0.06265,13594.0,14833.0,1238.0
Vihiga,High,2029,0.0895,0.06265,12378.0,13903.0,1526.0
Vihiga,High,2030,0.0895,0.06265,11270.0,13032.0,1763.0
Wajir,High,2025,0.112052,0.112052,405.0,405.0,0.0
Wajir,High,2026,0.112052,0.078437,360.0,373.0,14.0
Wajir,High,2027,0.112052,0.078437,319.0,344.0,25.0
Wajir,High,2028,0.112052,0.078437,284.0,317.0,33.0
Wajir,High,2029,0.112052,0.078437,252.0,292.0,40.0
Wajir,High,2030,0.112052,0.078437,224.0,269.0,46.0
West Pokot,Critical,2025,0.153,0.153,4314.0,4314.0,0.0
West Pokot,Critical,2026,0.153,0.1071,3654.0,3852.0,198.0
West Pokot,Critical,2027,0.153,0.1071,3095.0,3439.0,345.0
West Pokot,Critical,2028,0.153,0.1071,2621.0,3071.0,450.0
West Pokot,Critical,2029,0.153,0.1071,2220.0,2742.0,522.0
West Pokot,Critical,2030,0.153,0.1071,1881.0,2448.0,568.0
